Area,Pressure,Sigma1,Epsilon1,Sigma2,Epsilon2,Thickness,Flux,Rejection,Materials
50,50,2.39,0.0692,0,0,3.39,23.28,99.515,Graphene
50,100,3.39,0.0692,0,0,3.39,43.2725,100,
50,150,3.39,0.0692,0,0,3.39,62.8175,99.0325,
50,200,3.39,0.0692,0,0,3.39,77.965,96.935,
50,250,3.39,0.0692,0,0,3.39,99.85,94.1925,
50,300,3.39,0.0692,0,0,3.39,111.085,93.065,
60,100,3.39,0.0692,0,0,3.39,47.635,99.03,
60,150,3.39,0.0692,0,0,3.39,76.025,95.805,
60,200,3.39,0.0692,0,0,3.39,96.31,98.06,
60,250,3.39,0.0692,0,0,3.39,109.935,91.29,
60,300,3.39,0.0692,0,0,3.39,136.64,90,
70,100,3.39,0.0692,0,0,3.39,67.91,96.775,
70,150,3.39,0.0692,0,0,3.39,102.915,96.13,
70,200,3.39,0.0692,0,0,3.39,122.28,90,
70,250,3.39,0.0692,0,0,3.39,158.785,82.905,
70,300,3.39,0.0692,0,0,3.39,185.995,83.55,
80,100,3.39,0.0692,0,0,3.39,88.11,93.55,
80,150,3.39,0.0692,0,0,3.39,128.555,90.97,
80,200,3.39,0.0692,0,0,3.39,156.085,82.58,
80,250,3.39,0.0692,0,0,3.39,190.625,84.515,
80,300,3.39,0.0692,0,0,3.39,219.285,77.095,
90,100,3.39,0.0692,0,0,3.39,97.4,87.74,
90,150,3.39,0.0692,0,0,3.39,168.94,73.55,
90,200,3.39,0.0692,0,0,3.39,207.14,79.35,
90,250,3.39,0.0692,0,0,3.39,264.49,72.9,
90,300,3.39,0.0692,0,0,3.39,303.22,61.29,
50,50,3.438,0.3675,0,0,6.153,19.3175,99.8375,Phosphorene
50,100,3.438,0.3675,0,0,6.153,40.0125,99.6775,
50,150,3.438,0.3675,0,0,6.153,53.5975,99.8375,
50,200,3.438,0.3675,0,0,6.153,71.61,98.5475,
50,250,3.438,0.3675,0,0,6.153,84.8225,98.225,
50,300,3.438,0.3675,0,0,6.153,99.855,96.13,
60,100,3.438,0.3675,0,0,6.153,51.41,100,
60,150,3.438,0.3675,0,0,6.153,72,96.34333333,
60,200,3.438,0.3675,0,0,6.153,96,96.77333333,
60,250,3.438,0.3675,0,0,6.153,111.66,93.12,
60,300,3.438,0.3675,0,0,6.153,135.9,90.97,
70,100,3.438,0.3675,0,0,6.153,67.06,98.06333333,
70,150,3.438,0.3675,0,0,6.153,97.55,96.13,
70,200,3.438,0.3675,0,0,6.153,121.7,88.17333333,
70,250,3.438,0.3675,0,0,6.153,146.2,88.82,
70,300,3.438,0.3675,0,0,6.153,174.2,83.22666667,
80,100,3.438,0.3675,0,0,6.153,79.6,95.7,
80,150,3.438,0.3675,0,0,6.153,121,87.1,
80,200,3.438,0.3675,0,0,6.153,150.7,83.87333333,
80,250,3.438,0.3675,0,0,6.153,188.8,77.41666667,
80,300,3.438,0.3675,0,0,6.153,225.57,73.11666667,
90,100,3.438,0.3675,0,0,6.153,102.8,89.89333333,
90,150,3.438,0.3675,0,0,6.153,158.1,83.44,
90,200,3.438,0.3675,0,0,6.153,198.7,81.07666667,
90,250,3.438,0.3675,0,0,6.153,243.03,74.62333333,
90,300,3.438,0.3675,0,0,6.153,284.2,72.69,
50,50,4.2,0.0135,3.13,0.4612,7.17,28.77,99.355,MoS2
50,100,4.2,0.0135,3.13,0.4612,7.17,55.1,99.8375,
50,150,4.2,0.0135,3.13,0.4612,7.17,73.9,99.0325,
50,200,4.2,0.0135,3.13,0.4612,7.17,91.3,98.5475,
50,250,4.2,0.0135,3.13,0.4612,7.17,110,96.775,
50,300,4.2,0.0135,3.13,0.4612,7.17,128,93.3,
60,100,4.2,0.0135,3.13,0.4612,7.17,74.58,98.71,
60,150,4.2,0.0135,3.13,0.4612,7.17,109.04,98.06,
60,200,4.2,0.0135,3.13,0.4612,7.17,125.91,88.39,
60,250,4.2,0.0135,3.13,0.4612,7.17,155.58,84.52,
60,300,4.2,0.0135,3.13,0.4612,7.17,215.88,87.1,
70,100,4.2,0.0135,3.13,0.4612,7.17,100.75,92.26,
70,150,4.2,0.0135,3.13,0.4612,7.17,149.76,89.03,
70,200,4.2,0.0135,3.13,0.4612,7.17,182.93,78.06,
70,250,4.2,0.0135,3.13,0.4612,7.17,238.27,75.48,
70,300,4.2,0.0135,3.13,0.4612,7.17,292.79,69.03,
80,100,4.2,0.0135,3.13,0.4612,7.17,134.54,82.58,
80,150,4.2,0.0135,3.13,0.4612,7.17,177.88,78.71,
80,200,4.2,0.0135,3.13,0.4612,7.17,225.19,67.74,
80,250,4.2,0.0135,3.13,0.4612,7.17,290.35,63.87,
80,300,4.2,0.0135,3.13,0.4612,7.17,372.34,65.16,
90,100,4.2,0.0135,3.13,0.4612,7.17,157,80.65,
90,150,4.2,0.0135,3.13,0.4612,7.17,271.32,69.03,
90,200,4.2,0.0135,3.13,0.4612,7.17,295.88,66.45,
90,250,4.2,0.0135,3.13,0.4612,7.17,341.38,60,
90,300,4.2,0.0135,3.13,0.4612,7.17,459.37,57.42,
50,50,3.25,0.6572,3.13,0.4612,6.22,26.415,100,MoSE2
50,100,3.25,0.6572,3.13,0.4612,6.22,46.0875,99.8375,
50,150,3.25,0.6572,3.13,0.4612,6.22,64.0175,100,
50,200,3.25,0.6572,3.13,0.4612,6.22,84.4175,99.36,
50,250,3.25,0.6572,3.13,0.4612,6.22,102.5775,95.51,
50,300,3.25,0.6572,3.13,0.4612,6.22,115.445,93.5875,
50,50,3.453,0.0949,3.365,0.14484,3.453,21.464,99.6775,bn
50,100,3.453,0.0949,3.365,0.14484,3.453,40.9375,99.1925,
50,150,3.453,0.0949,3.365,0.14484,3.453,59.895,98.5475,
50,200,3.453,0.0949,3.365,0.14484,3.453,77.1325,97.9025,
50,250,3.453,0.0949,3.365,0.14484,3.453,93.5825,96.6125,
50,300,3.453,0.0949,3.365,0.14484,3.453,107.8225,93.55,
50,50,2.829,0.017,3.431,0.0105,5.118,31.6128039876,100,Ti2C
50,100,2.829,0.017,3.431,0.0105,5.118,56.077658773,99.355,
50,150,2.829,0.017,3.431,0.0105,5.118,80.991413009775,98.71,
50,200,2.829,0.017,3.431,0.0105,5.118,98.939289571,97.0975,
50,250,2.829,0.017,3.431,0.0105,5.118,117.55475236905,94.195,
50,50,2.829,0.017,3.431,0.0105,7.574,32.91304347825,99.8375,Ti3C2
50,100,2.829,0.017,3.431,0.0105,7.574,62.48834546265,99.515,
50,150,2.829,0.017,3.431,0.0105,7.574,85.682461841,98.87,
50,200,2.829,0.017,3.431,0.0105,7.574,110.529255826625,98.3875,
50,250,2.829,0.017,3.431,0.0105,7.574,128.952449873975,94.515,
50,50,2.829,0.017,3.431,0.0105,10.251,16.753364027275,100,Ti4C3
50,100,2.829,0.017,3.431,0.0105,10.251,50.91641784005,100,
50,150,2.829,0.017,3.431,0.0105,10.251,80.1105573587,98.3875,
50,200,2.829,0.017,3.431,0.0105,10.251,102.966310151625,98.065,
50,250,2.829,0.017,3.431,0.0105,10.251,128.348411558475,95.32,
